iter	Passed	Remaining
0	58	58729
1	61	30562
2	63	21188
3	66	16490
4	68	13656
5	71	11774
6	73	10417
7	78	9678
8	80	8873
9	83	8234
10	85	7730
11	89	7365
12	91	6978
13	98	6966
14	101	6651
15	103	6391
16	106	6178
17	110	6007
18	112	5816
19	115	5642
20	117	5475
21	119	5320
22	122	5189
23	124	5062
24	126	4947
25	129	4843
26	131	4743
27	133	4646
28	136	4562
29	138	4477
30	140	4405
31	143	4330
32	145	4260
33	147	4200
34	150	4137
35	152	4077
36	154	4028
37	157	3975
38	159	3924
39	161	3875
40	163	3835
41	166	3790
42	168	3760
43	171	3726
44	173	3692
45	176	3660
46	178	3629
47	181	3603
48	184	3575
49	186	3547
50	189	3520
51	191	3493
52	194	3470
53	196	3447
54	199	3420
55	201	3393
56	203	3367
57	205	3342
58	208	3321
59	210	3296
60	212	3276
61	214	3252
62	217	3230
63	219	3209
64	221	3187
65	223	3167
66	226	3150
67	228	3130
68	230	3111
69	232	3093
70	235	3075
71	237	3058
72	239	3043
73	241	3027
74	244	3016
75	246	3000
76	249	2985
77	252	2979
78	254	2965
79	256	2951
80	259	2938
81	261	2924
82	263	2911
83	266	2903
84	268	2891
85	271	2881
86	273	2868
87	275	2855
88	277	2843
89	280	2831
90	282	2819
91	285	2821
92	288	2815
93	290	2804
94	293	2792
95	295	2782
96	297	2772
97	301	2770
98	303	2760
99	305	2753
100	308	2743
101	310	2733
102	312	2723
103	315	2716
104	317	2707
105	319	2698
106	322	2691
107	324	2682
108	327	2673
109	329	2664
110	331	2655
111	333	2646
112	336	2642
113	338	2633
114	341	2624
115	343	2617
116	345	2609
117	348	2602
118	350	2594
119	352	2586
120	355	2579
121	357	2572
122	359	2564
123	362	2561
124	364	2553
125	367	2546
126	369	2541
127	372	2535
128	374	2530
129	379	2537
130	381	2531
131	384	2525
132	386	2521
133	390	2524
134	393	2518
135	395	2512
136	398	2507
137	400	2502
138	403	2497
139	405	2491
140	407	2485
141	410	2478
142	412	2472
143	414	2465
144	417	2459
145	419	2456
146	422	2450
147	424	2443
148	426	2437
149	429	2431
150	433	2436
151	435	2431
152	438	2427
153	441	2422
154	443	2417
155	446	2415
156	448	2409
157	451	2403
158	453	2397
159	455	2391
160	457	2386
161	460	2381
162	462	2376
163	464	2370
164	467	2364
165	469	2359
166	472	2355
167	474	2349
168	477	2346
169	479	2342
170	482	2337
171	484	2331
172	486	2325
173	489	2322
174	491	2318
175	494	2314
176	496	2309
177	499	2304
178	502	2304
179	505	2301
180	508	2298
181	510	2294
182	512	2290
183	516	2288
184	518	2284
185	521	2283
186	524	2279
187	526	2274
188	529	2271
189	531	2266
190	534	2262
191	537	2259
192	539	2254
193	542	2252
194	544	2248
195	546	2243
196	549	2239
197	551	2235
198	554	2230
199	556	2225
200	558	2221
201	561	2216
202	563	2211
203	566	2208
204	568	2205
205	571	2201
206	573	2197
207	575	2192
208	578	2187
209	580	2183
210	582	2178
211	585	2174
212	587	2169
213	589	2166
214	592	2162
215	595	2160
216	597	2155
217	600	2152
218	604	2156
219	608	2156
220	611	2156
221	614	2152
222	616	2147
223	619	2144
224	621	2140
225	625	2141
226	627	2138
227	630	2133
228	632	2130
229	635	2125
230	637	2122
231	640	2119
232	642	2115
233	644	2111
234	647	2108
235	650	2105
236	653	2104
237	655	2100
238	658	2096
239	660	2092
240	663	2088
241	665	2083
242	669	2085
243	671	2082
244	674	2078
245	677	2075
246	679	2071
247	682	2069
248	684	2064
249	686	2060
250	689	2056
251	691	2052
252	693	2048
253	696	2046
254	698	2041
255	701	2037
256	703	2034
257	706	2030
258	708	2027
259	711	2024
260	713	2020
261	715	2016
262	718	2012
263	720	2007
264	722	2003
265	724	1999
266	727	1996
267	729	1992
268	731	1987
269	733	1983
270	735	1979
271	738	1975
272	740	1972
273	742	1968
274	745	1964
275	747	1960
276	749	1956
277	751	1952
278	754	1949
279	756	1945
280	759	1942
281	761	1939
282	763	1935
283	766	1932
284	768	1928
285	771	1925
286	774	1923
287	776	1920
288	779	1916
289	781	1913
290	783	1909
291	786	1907
292	788	1903
293	791	1899
294	793	1897
295	796	1893
296	798	1890
297	801	1887
298	803	1883
299	809	1888
300	816	1897
301	821	1899
302	824	1897
303	827	1893
304	829	1890
305	832	1889
306	835	1886
307	838	1883
308	840	1880
309	843	1876
310	845	1873
311	848	1870
312	850	1866
313	853	1864
314	855	1860
315	857	1857
316	860	1854
317	863	1852
318	866	1848
319	869	1846
320	871	1843
321	874	1841
322	877	1838
323	879	1835
